Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2017-06-06 06:35:01.190;106;0;1;ul. œw. Antoniego
2017-06-06 06:35:01.323;785;0;0;Parking Hala Stulecia
2017-06-06 06:36:16.537;609;0;0;Renoma
2017-06-06 06:38:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:40:00.040;275;0;0;Nowy Targ
2017-06-06 06:40:01.450;785;0;0;Parking Hala Stulecia
2017-06-06 06:40:01.857;106;0;0;ul. œw. Antoniego
2017-06-06 06:43:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:45:00.010;275;0;0;Nowy Targ
2017-06-06 06:45:02.030;106;0;0;ul. œw. Antoniego
2017-06-06 06:45:02.297;784;1;0;Parking Hala Stulecia
2017-06-06 06:46:16.067;545;0;0;Renoma
2017-06-06 06:48:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:50:00.043;274;1;0;Nowy Targ
2017-06-06 06:50:01.597;106;0;0;ul. œw. Antoniego
2017-06-06 06:50:01.920;784;0;0;Parking Hala Stulecia
2017-06-06 06:53:51.000;605;1;0;Narodowe Forum Muzyki
2017-06-06 06:55:00.013;272;2;0;Nowy Targ
2017-06-06 06:55:01.867;784;0;0;Parking Hala Stulecia
2017-06-06 06:55:02.103;106;1;0;ul. œw. Antoniego
2017-06-06 06:56:15.550;591;0;0;Renoma
2017-06-06 06:58:51.000;605;1;0;Narodowe Forum Muzyki
2017-06-06 07:00:00.037;271;1;0;Nowy Targ
2017-06-06 07:00:01.223;104;2;0;ul. œw. Antoniego
2017-06-06 07:00:01.300;784;0;0;Parking Hala Stulecia
2017-06-06 07:03:51.000;605;1;0;Narodowe Forum Muzyki
2017-06-06 07:05:00.010;270;1;0;Nowy Targ
2017-06-06 07:05:01.207;102;1;0;ul. œw. Antoniego
2017-06-06 07:05:01.423;784;0;0;Parking Hala Stulecia
2017-06-06 07:06:15.753;575;0;0;Renoma
2017-06-06 07:08:51.000;605;1;0;Narodowe Forum Muzyki
2017-06-06 07:10:00.043;269;2;1;Nowy Targ
2017-06-06 07:10:01.277;784;0;0;Parking Hala Stulecia
2017-06-06 07:10:01.453;104;0;1;ul. œw. Antoniego
2017-06-06 07:13:51.000;604;1;0;Narodowe Forum Muzyki
2017-06-06 07:15:00.013;264;5;0;Nowy Targ
2017-06-06 07:15:01.957;104;0;0;ul. œw. Antoniego
2017-06-06 07:15:02.130;784;0;0;Parking Hala Stulecia
2017-06-06 07:16:15.397;525;0;0;Renoma
2017-06-06 07:18:51.000;604;0;0;Narodowe Forum Muzyki
2017-06-06 07:20:00.043;258;6;0;Nowy Targ
2017-06-06 07:20:01.913;104;0;0;ul. œw. Antoniego
2017-06-06 07:20:02.190;784;0;0;Parking Hala Stulecia
2017-06-06 07:23:51.000;603;1;0;Narodowe Forum Muzyki
2017-06-06 07:25:00.010;258;3;3;Nowy Targ
2017-06-06 07:25:01.517;104;0;0;ul. œw. Antoniego
2017-06-06 07:25:01.623;784;0;0;Parking Hala Stulecia
2017-06-06 07:26:15.177;531;0;0;Renoma
2017-06-06 07:28:51.000;604;0;1;Narodowe Forum Muzyki
2017-06-06 07:30:00.033;253;5;0;Nowy Targ
2017-06-06 07:30:01.417;104;0;0;ul. œw. Antoniego
2017-06-06 07:30:01.760;784;2;2;Parking Hala Stulecia
2017-06-06 07:33:51.000;604;0;1;Narodowe Forum Muzyki
2017-06-06 07:35:00.010;244;10;1;Nowy Targ
2017-06-06 07:35:01.230;784;0;0;Parking Hala Stulecia
2017-06-06 07:35:01.807;103;1;0;ul. œw. Antoniego
2017-06-06 07:36:14.917;599;0;0;Renoma
2017-06-06 07:38:51.000;604;0;1;Narodowe Forum Muzyki
2017-06-06 07:40:00.050;244;1;1;Nowy Targ
2017-06-06 07:40:01.517;102;1;0;ul. œw. Antoniego
2017-06-06 07:40:01.710;784;0;0;Parking Hala Stulecia
2017-06-06 07:43:51.000;602;2;0;Narodowe Forum Muzyki
2017-06-06 07:45:00.010;236;8;0;Nowy Targ
2017-06-06 07:45:01.403;101;1;0;ul. œw. Antoniego
2017-06-06 07:45:01.843;781;3;0;Parking Hala Stulecia
2017-06-06 07:46:14.783;572;0;0;Renoma
2017-06-06 07:48:51.000;602;0;0;Narodowe Forum Muzyki
2017-06-06 07:50:00.040;231;5;0;Nowy Targ
2017-06-06 07:50:01.327;781;0;0;Parking Hala Stulecia
2017-06-06 07:50:01.463;101;0;0;ul. œw. Antoniego
2017-06-06 07:53:51.000;602;0;0;Narodowe Forum Muzyki
2017-06-06 07:55:00.010;227;4;0;Nowy Targ
2017-06-06 07:55:01.217;100;1;0;ul. œw. Antoniego
2017-06-06 07:55:02.167;781;0;0;Parking Hala Stulecia
2017-06-06 07:56:15.287;533;0;0;Renoma
2017-06-06 07:58:51.000;597;5;1;Narodowe Forum Muzyki
2017-06-06 08:00:00.047;218;11;2;Nowy Targ
2017-06-06 08:00:01.753;99;1;0;ul. œw. Antoniego
2017-06-06 08:00:01.773;779;2;0;Parking Hala Stulecia
2017-06-06 08:03:51.000;596;1;1;Narodowe Forum Muzyki
2017-06-06 08:05:00.010;212;7;1;Nowy Targ
2017-06-06 08:05:01.663;779;1;1;Parking Hala Stulecia
2017-06-06 08:05:01.763;98;1;0;ul. œw. Antoniego
2017-06-06 08:06:14.810;522;0;0;Renoma
